dataset,seed,n_train,n_val,n_test,epochs_run,best_epoch,train_time_s,train_loss,val_loss,test_loss,train_accuracy,train_precision,train_recall,train_f1,train_tn,train_fp,train_fn,train_tp,val_accuracy,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
Gaussian_2D_Wide,0,120,40,40,970,920,0.8169412349999448,8.883741485025978e-05,1.5187382886676585e-05,1.819906235336092e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,1,120,40,40,1000,996,0.8327462040000455,8.309708886758566e-05,0.00015068949110838304,7.868289359915624e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,2,120,40,40,1000,1000,0.8910415039999862,7.051613771379467e-05,0.0003425671561724206,2.9872107872701014e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,3,120,40,40,1000,995,0.8860401510000315,8.007099227822576e-05,0.00014081941658986995,1.9932291477966727e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,4,120,40,40,1000,992,0.8672459940000294,7.251958111791125e-05,0.00010297637733004436,8.51886549792659e-06,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,5,120,40,40,1000,998,0.8561148069999831,6.369769751081768e-05,0.0006472120707990857,1.9880379784456626e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,6,120,40,40,1000,999,0.849517818000038,6.102051975106859e-05,0.0007955528154041927,4.03796768687806e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,7,120,40,40,945,895,0.7844976279999969,9.481678719457333e-05,1.2840900106550647e-05,0.00010928428773549841,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,8,120,40,40,1000,991,0.9040274469999758,6.997161893137714e-05,3.249325997570255e-05,0.00035808079143744546,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,9,120,40,40,1000,990,0.8721711209999512,6.736046580596488e-05,0.00010765642028281079,0.0006019685930960027,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,10,120,40,40,1000,986,0.8293546849999984,8.203527246257778e-05,1.6557849238728267e-05,1.8885819856646517e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,11,120,40,40,1000,996,0.8251760680000189,7.806345914160015e-05,9.486736853420903e-05,1.3075190371697313e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,12,120,40,40,1000,992,0.824855929000023,8.763712001837682e-05,9.196645220068969e-05,2.4036150313926563e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,13,120,40,40,1000,990,0.8275179460000004,7.990528182865246e-05,3.647187312107465e-05,0.00014676484862063648,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,14,120,40,40,1000,992,0.8967965980000372,7.012489637537433e-05,6.757016781825219e-05,0.0009766108161650105,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,15,120,40,40,1000,1000,0.9258138309999708,5.7192140714097394e-05,0.0019398900897137981,0.00029464320389755843,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,16,120,40,40,1000,965,0.9120300129999919,6.970641325803385e-05,2.346941452279892e-05,0.0003022599300762187,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,17,120,40,40,1000,998,0.8897788410000089,6.519516527802884e-05,0.0003900236998688287,2.9521870409405302e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,18,120,40,40,924,874,0.75839882300005,9.972611923102084e-05,1.3416490594629095e-05,5.3685543026462574e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,19,120,40,40,1000,998,0.9209110410000108,8.138369737539397e-05,0.0001373671089850809,2.6188767307357837e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,20,120,40,40,1000,994,0.8679497520000155,6.455307675476926e-05,9.534015924628393e-05,0.00020614550510769246,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,21,120,40,40,692,642,0.6156787300000133,0.00012460704971538342,9.969007953888747e-06,3.071538907937802e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,22,120,40,40,1000,998,0.8893044280000026,8.220761054500546e-05,0.00015196647304628543,4.126603641167033e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,23,120,40,40,1000,994,0.828126219000012,5.956266980727996e-05,2.691057161875672e-05,0.0006221341040179905,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,24,120,40,40,1000,999,0.8791284540000106,6.117958753648015e-05,0.0002847556261212623,0.0001487285967998445,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,25,120,40,40,1000,1000,0.8527396979999935,5.658824634663416e-05,0.0008224304220599092,5.706211109969575e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,26,120,40,40,1000,1000,0.8157582270000034,7.571248651069478e-05,0.0001201174056444837,1.8296641817575695e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,27,120,40,40,1000,999,0.82818367699997,6.133514862833046e-05,0.0011393826001844791,0.00026451339253034023,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,28,120,40,40,1000,998,0.8257564819999743,7.458104397754284e-05,0.0001558038189830567,3.53744400308173e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Wide,29,120,40,40,1000,992,0.8321158300000207,6.897873905871711e-05,4.334660048183137e-05,0.0002855213012900811,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,0,120,40,40,833,783,0.6842813349999801,0.00017129112514869448,1.0588930919925853e-05,0.036234500407753875,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,0.975,1.0,0.95,0.9743589743589743,20,0,1,19
Gaussian_2D_Narrow,1,120,40,40,1000,995,0.8206766389999984,0.00013471787276759874,0.00015830339960200558,0.03522626435378158,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,0.975,1.0,0.95,0.9743589743589743,20,0,1,19
Gaussian_2D_Narrow,2,120,40,40,389,339,0.31801542099998414,0.0008765415774122452,0.004955503920216319,2.1850754976216136e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,3,120,40,40,983,933,0.8036745549999864,0.00028153801253850074,9.771259886255201e-06,0.012321471267837187,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,4,120,40,40,1000,992,0.8244253619999995,0.0004057256706915807,3.014877527859548e-05,6.924945839237439e-06,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,5,120,40,40,960,910,0.8103804809999815,0.00037347353757438375,9.251707810426591e-06,1.5641051923757444e-06,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,6,120,40,40,184,134,0.15027520300003516,0.0011249026558759006,0.013236438425374437,0.0018857841222302267,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,7,120,40,40,79,29,0.06462761799997452,0.003907827584830461,0.013224640170332976,0.010185411438209524,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,8,120,40,40,1000,998,0.8377250249999975,9.120773485451496e-05,0.0014271667129230074,0.018554445560222513,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,0.975,1.0,0.95,0.9743589743589743,20,0,1,19
Gaussian_2D_Narrow,9,120,40,40,483,433,0.3954153560000009,0.00053531993137352,0.0013993958777895848,0.012426007503172616,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,10,120,40,40,584,534,0.47644051100002116,0.0007315010530353039,4.29648252322732e-06,3.663457136686311e-06,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,11,120,40,40,90,40,0.0737387789999957,0.0035200217407126634,0.019929080421054866,0.0013762127352515302,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,12,120,40,40,1000,999,0.839988629000004,8.869313707548383e-05,0.0019144060039406473,0.01558465599111054,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,13,120,40,40,57,7,0.046760065999990275,0.011489770131592698,0.014109288252587521,0.015515681435469775,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,14,120,40,40,584,534,0.4923026650000111,0.0005505678208524627,4.790082374179466e-06,0.0048500327405807475,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,15,120,40,40,194,144,0.1596180690000324,0.0019363579192570276,0.010172172221896422,0.000379768171279414,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,16,120,40,40,751,701,0.6108142960000009,0.00042129032725600273,6.004720975155342e-06,0.00502281077968074,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,17,120,40,40,107,57,0.08812636099997917,0.0022338909081561593,0.017008062933190595,0.002109654619793814,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,18,120,40,40,123,73,0.1158907870000121,0.002125815924321992,0.014025900419598688,0.0012269782148178854,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,19,120,40,40,1000,1000,0.8215018230000055,8.84039633461243e-05,0.001059789486820177,0.02828957195324509,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,0.975,1.0,0.95,0.9743589743589743,20,0,1,19
Gaussian_2D_Narrow,20,120,40,40,1000,994,0.8158222179999939,8.54774799419373e-05,3.48024921815945e-05,0.02399362182287299,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,0.975,1.0,0.95,0.9743589743589743,20,0,1,19
Gaussian_2D_Narrow,21,120,40,40,1000,983,0.8759546449999789,0.0003784739558657921,2.0630783002080983e-05,5.531620844886111e-07,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,22,120,40,40,65,15,0.05277487299997574,0.007968439329534175,0.017815844719003462,0.0032794756603639714,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,23,120,40,40,58,8,0.04721251200004417,0.0129926775491322,0.019355566184291056,0.01599223412657893,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,24,120,40,40,828,778,0.7444891979999966,0.00036322648368847563,8.114042628179336e-06,0.020049575546897576,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,0.975,0.9523809523809523,1.0,0.975609756097561,19,1,0,20
Gaussian_2D_Narrow,25,120,40,40,228,178,0.2164121410000348,0.0016703290882166414,0.006720013427480657,6.955510588236812e-05,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,26,120,40,40,886,836,0.8333977629999936,0.00042093419561215183,7.515631621961863e-06,1.0438302622460014e-06,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,27,120,40,40,100,50,0.08277132699998901,0.003987391157044614,0.011066125536094252,0.001688100578530137,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,28,120,40,40,1000,1000,0.8990744189999873,9.093380157884499e-05,0.0018528875231379547,0.016572517003446453,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Narrow,29,120,40,40,1000,987,0.8178510160000201,0.0001340187484508806,1.6821974400516474e-05,0.04819295068199964,1.0,1.0,1.0,1.0,60,0,0,60,1.0,1.0,1.0,1.0,20,0,0,20,0.975,1.0,0.95,0.9743589743589743,20,0,1,19
Gaussian_2D_Overlap,0,120,40,40,68,18,0.05530407699995976,0.18266844973540472,0.16876859831959357,0.13997440206168238,0.9333333333333333,0.9482758620689655,0.9166666666666666,0.9322033898305084,57,3,5,55,0.925,0.8695652173913043,1.0,0.9302325581395349,17,3,0,20,0.925,0.9473684210526315,0.9,0.9230769230769231,19,1,2,18
Gaussian_2D_Overlap,1,120,40,40,54,4,0.044631903999970746,0.18872598335071966,0.21649825374993034,0.14828489225630878,0.9166666666666666,0.9032258064516129,0.9333333333333333,0.9180327868852459,54,6,4,56,0.95,0.9090909090909091,1.0,0.9523809523809523,18,2,0,20,0.95,1.0,0.9,0.9473684210526316,20,0,2,18
Gaussian_2D_Overlap,2,120,40,40,57,7,0.04669114500001115,0.18850366673968472,0.1237287408102907,0.19527628501958771,0.9166666666666666,0.890625,0.95,0.9193548387096774,53,7,3,57,0.95,0.9090909090909091,1.0,0.9523809523809523,18,2,0,20,0.95,0.95,0.95,0.9500000000000001,19,1,1,19
Gaussian_2D_Overlap,3,120,40,40,52,2,0.042590765999989344,0.18240502547740084,0.3122276943954987,0.20445630877824744,0.925,0.9180327868852459,0.9333333333333333,0.9256198347107439,55,5,4,56,0.925,0.9047619047619048,0.95,0.9268292682926829,18,2,1,19,0.95,0.9090909090909091,1.0,0.9523809523809523,18,2,0,20
Gaussian_2D_Overlap,4,120,40,40,52,2,0.04230670399999781,0.2133137117626402,0.24528288720405195,0.06167619808425341,0.9,0.8636363636363636,0.95,0.9047619047619048,51,9,3,57,0.925,0.9047619047619048,0.95,0.9268292682926829,18,2,1,19,1.0,1.0,1.0,1.0,20,0,0,20
Gaussian_2D_Overlap,5,120,40,40,101,51,0.08206832099995154,0.14555486001760964,0.17498254745363062,0.18885882271336757,0.9416666666666667,0.9076923076923077,0.9833333333333333,0.944,54,6,1,59,0.925,0.9473684210526315,0.9,0.9230769230769231,19,1,2,18,0.925,0.8695652173913043,1.0,0.9302325581395349,17,3,0,20
Gaussian_2D_Overlap,6,120,40,40,53,3,0.043061338000029536,0.1367144115813426,0.3188485772222078,0.21222620069084241,0.9666666666666667,0.9375,1.0,0.967741935483871,56,4,0,60,0.825,0.8095238095238095,0.85,0.8292682926829269,16,4,3,17,0.925,0.9047619047619048,0.95,0.9268292682926829,18,2,1,19
