hidden,learning_rate,val_accuracy_mean,val_accuracy_std,epochs_mean
"(2,)",0.01,0.9133333333333334,0.054486236794258416,188.11111111111111
"(2,)",0.05,0.9127777777777778,0.05506309512227263,97.33333333333333
"(2,)",0.2,0.9149999999999999,0.04756574397610112,63.333333333333336
"(4,)",0.01,0.9444444444444444,0.03311386081050919,237.33333333333334
"(4,)",0.05,0.9533333333333334,0.01984313483298441,128.55555555555554
"(4,)",0.2,0.9477777777777779,0.027512623365365266,69.88888888888889
"(8,)",0.01,0.9427777777777777,0.0328929239266509,209.55555555555554
"(8,)",0.05,0.9544444444444444,0.02283698267674118,152.55555555555554
"(8,)",0.2,0.9500000000000001,0.02345207879911711,89.11111111111111
"(16,)",0.01,0.9505555555555555,0.020069324297987134,198.66666666666666
"(16,)",0.05,0.9488888888888888,0.024593924272289486,153.77777777777777
"(16,)",0.2,0.9483333333333334,0.0306186217847897,88.22222222222223
"(8, 8)",0.01,0.9477777777777779,0.028074800879871666,199.33333333333334
"(8, 8)",0.05,0.9505555555555555,0.02822282370312681,96.11111111111111
"(8, 8)",0.2,0.952777777777778,0.02093309447846742,83.77777777777777
